time,temperature_2m,relative_humidity_2m,cloud_cover,wind_direction_10m,fetch_timestamp,latitude,longitude,timezone,elevation
2025-06-06 00:00:00,17.0,85,100,211,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 01:00:00,16.9,86,100,217,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 02:00:00,16.8,85,100,230,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 03:00:00,16.7,86,100,263,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 04:00:00,15.7,77,94,276,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 05:00:00,14.0,81,91,256,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 06:00:00,14.2,80,100,222,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 07:00:00,14.3,81,100,191,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 08:00:00,14.5,84,100,232,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 09:00:00,15.4,81,100,221,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 10:00:00,16.7,74,100,243,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 11:00:00,17.5,74,100,236,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 12:00:00,18.8,62,94,239,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 13:00:00,20.0,62,71,230,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 14:00:00,20.8,55,77,228,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 15:00:00,21.7,52,94,228,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 16:00:00,22.0,48,98,239,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 17:00:00,22.1,47,96,237,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 18:00:00,21.8,49,100,241,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 19:00:00,21.1,52,97,241,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 20:00:00,20.9,48,99,271,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 21:00:00,18.3,63,100,291,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 22:00:00,17.5,68,100,288,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
2025-06-06 23:00:00,17.0,67,98,277,2025-06-06T17:28:59.896822,48.86,2.3399997,Europe/Paris,43.0
